COUNTRY,FINANCIAL_YEAR,FIRE_TYPE,TOTAL_FIRES
Wales,2007/08,Primary Fire,"7,689"
Wales,2008/09,Non-Primary Fire,"12,536"
Wales,2008/09,Primary Fire,"6,985"
Wales,2009/10,Non-Primary Fire,"12,352"
Wales,2009/10,Primary Fire,"6,800"
Wales,2010/11,Non-Primary Fire,"14,274"
Wales,2010/11,Primary Fire,"6,414"
Wales,2011/12,Non-Primary Fire,"10,777"
Wales,2011/12,Primary Fire,"5,687"
Wales,2012/13,Non-Primary Fire,"6,693"
Wales,2012/13,Primary Fire,"4,745"
Wales,2013/14,Non-Primary Fire,"8,379"
Wales,2013/14,Primary Fire,"4,790"
Wales,2014/15,Non-Primary Fire,"7,090"
Wales,2014/15,Primary Fire,"4,561"
Wales,2015/16,Non-Primary Fire,"7,430"
Wales,2015/16,Primary Fire,"4,678"
Wales,2016/17,Non-Primary Fire,"5,993"
Wales,2016/17,Primary Fire,"4,757"
Wales,2017/18,Non-Primary Fire,"6,707"
Wales,2017/18,Primary Fire,"4,316"
Wales,2018/19,Non-Primary Fire,"8,519"
Wales,2018/19,Primary Fire,"4,392"
Wales,2019/20,Non-Primary Fire,"6,308"
Wales,2019/20,Primary Fire,"4,279"
Wales,2020/21,Non-Primary Fire,"6,530"
Wales,2020/21,Primary Fire,"3,796"
Wales,2021/22,Non-Primary Fire,"6,796"
Wales,2021/22,Primary Fire,"3,944"
Wales,2022/23,Non-Primary Fire,"7,149"
Wales,2022/23,Primary Fire,"3,919"
Wales,2023/24,Non-Primary Fire,"5,776"
Wales,2023/24,Primary Fire,"3,924"
